"y","sa","t","s","i"
6.13,6.13,6.13776050820241,1,0.998735612412371
6.09,6.09,6.04500101402763,1,1.00744399973928
5.72,5.72,5.74713846159031,1,0.995277917563378
5.57,5.57,5.59471098259489,1,0.995583152968622
5.72,5.72,5.71599644809095,1,1.00070041189588
5.87,5.87,5.85924804468194,1,1.00183504013417
5.84,5.84,5.81966322304859,1,1.00349449378288
5.62,5.62,5.63397008766156,1,0.997520383061288
5.49,5.49,5.49412862731737,1,0.99924853828561
5.53,5.53,5.56421869178245,1,0.993850225219763
5.82,5.82,5.78571139558463,1,1.00592642841493
5.98,5.98,6.01584188014896,1,0.994042084073514
6.26,6.26,6.21361307428689,1,1.00746537081703
6.26,6.26,6.28342070249622,1,0.996272619070865
6.27,6.27,6.24334520248595,1,1.00426931342887
6.14,6.14,6.16033028842854,1,0.996699805452521
6.06,6.06,6.03708149992582,1,1.00379628800348
5.88,5.88,5.90394501736757,1,0.99594423435565
5.81,5.81,5.79136050165715,1,1.00321850078881
5.7,5.7,5.72753750478503,1,0.995192086518504
5.74,5.74,5.71949966822575,1,1.00358428760616
5.71,5.71,5.7301180084408,1,0.996489076069434
5.797,5.797,5.79238387942692,1,1.00079692932464
5.84,5.84,5.82211740178929,1,1.00307149392165
5.68,5.68,5.67628823729474,1,1.00065390666402
5.4557,5.4557,5.4630908206474,1,0.998647135680142
5.37,5.37,5.39734285550974,1,0.994934015451357
5.4857,5.4857,5.4575028049339,1,1.00516668448445
5.41,5.41,5.41301673088179,1,0.99944268953307
5.24,5.24,5.22629504627726,1,1.00262230769625
4.99,4.99,5.00427946998665,1,0.997146548254891
4.88,4.88,4.89307705360416,1,0.997327437630574
4.85,4.85,4.82167833096017,1,1.00587381967353
4.57,4.57,4.56546820084246,1,1.00099262528139
4.18,4.18,4.17687340813478,1,1.00074854839008
3.88,3.88,3.91569287420733,1,0.990884659406655
3.91,3.91,3.90557277561983,1,1.00113356596702
3.99,3.99,3.98822154153807,1,1.00044592770071
3.93,3.93,3.89354114159775,1,1.00936393300503
3.4995,3.4995,3.48981509372234,1,1.00277519181319
3.28,3.28,3.40425573102215,1,0.963499883428312
3.95,3.95,3.81267505602754,1,1.03601800362067
3.97,3.97,4.05123192061168,1,0.979948834773347
4.303333,4.303333,4.27509050859324,1,1.00660629087267
4.49,4.49,4.44184815661229,1,1.01084049739882
4.28,4.28,4.33179172013987,1,0.988043811086513
4.38,4.38,4.35905167187707,1,1.00480570768593
4.416667,4.416667,4.41473203066202,1,1.00043829825334
4.42,4.42,4.43805699762901,1,0.995931328137819
4.47,4.47,4.42860494281308,1,1.00934720024059
4.25,4.25,4.27722408496833,1,0.993635104350971
4.1,4.1,4.07190639865126,1,1.00689937306959
3.800476,3.800476,3.81364110816134,1,0.99654789011657
3.54,3.54,3.53032623906148,1,1.0027401889467
3.34,3.34,3.37631187087568,1,0.989245107601312
3.36,3.36,3.3228617939705,1,1.01117657258478
3.1009,3.1009,3.09227836558913,1,1.00278811717173
2.72,2.72,2.72875751929148,1,0.996790656835734
2.54,2.54,2.5764711972374,1,0.985844515833707
2.553158,2.553158,2.4890025122025,1,1.02577558177743
2.211,2.211,2.25682165190171,1,0.979696378815271
2.196,2.196,2.20520421004335,1,0.995826141632855
2.325455,2.325455,2.29815010703004,1,1.01188124869931
2.3675,2.3675,2.42175563403546,1,0.977596569499849
2.82,2.82,2.79257173441683,1,1.00982186607604
3.19,3.19,3.16758246859863,1,1.00707717371958
3.16,3.16,3.12123657020838,1,1.01241925401029
2.881905,2.881905,2.94161068771374,1,0.97970306269177
2.910909,2.910909,2.84995879594014,1,1.02138634570671
2.660909,2.660909,2.70638461420476,1,0.983196913710609
2.726,2.726,2.73671772783593,1,0.996083729159601
2.957,2.957,2.92819277419598,1,1.00983788569451
2.996842,2.996842,3.01488847615955,1,0.99401421435577
3.03,3.03,2.99677159160331,1,1.01108806840328
2.89,2.89,2.92348328631435,1,0.988546783738735
2.952857,2.952857,2.94230619204167,1,1.00358589734368
3.04,3.04,3.05148250918556,1,0.996237071931105
3.11,3.11,3.07592531687126,1,1.01107786425823
2.888571,2.888571,2.88936597159182,1,0.999724862963143
2.71,2.71,2.74836436730779,1,0.986041018518453
2.85,2.85,2.82840934635178,1,1.00763349678365
3.01,3.01,3.05172557882159,1,0.986327217915282
3.41,3.41,3.36196655347897,1,1.0142873064788
3.54,3.54,3.55531242008552,1,0.995693087336288
3.68,3.68,3.68157976712731,1,0.999570899660679
3.81,3.81,3.78435733107654,1,1.0067759639696
3.66,3.66,3.64806299590479,1,1.00327214856449
3.42,3.42,3.44960656775145,1,0.991417407414449
3.35,3.35,3.31972763725942,1,1.00911892963772
3.19,3.19,3.23113337954336,1,0.987269674534708
3.3,3.3,3.28350734907089,1,1.00502287620394
3.33,3.33,3.31661516705782,1,1.00403569068704
3.26,3.26,3.28796070525507,1,0.991496034240804
3.38,3.38,3.36499165824676,1,1.00446014233541
3.39,3.39,3.37447865106329,1,1.00459962872541
3.27,3.27,3.29244067592477,1,0.993184182151295
3.32,3.32,3.31911441658276,1,1.00026681316342
3.39,3.39,3.3782130548439,1,1.00348910650831
3.27,3.27,3.24591464187462,1,1.0074202068701
3.06,3.06,3.116988248406,1,0.981716886986935
3.23,3.23,3.18924267137487,1,1.01277962601935
3.21,3.21,3.22308879310962,1,0.995939052893112
3.17,3.17,3.16075958029081,1,1.00292348072495
3.14,3.14,3.16326232681012,1,0.992646096211193
3.24,3.24,3.21606646955445,1,1.00744186436198
3.22,3.22,3.23656952128132,1,0.994880529779333
3.19,3.19,3.15600419012163,1,1.01077178857518
2.94,2.94,2.95897783020121,1,0.993586356069482
2.78,2.78,2.77518810304534,1,1.00173389938843
2.69,2.69,2.71160716137372,1,0.992031603367363
2.75,2.75,2.73421093107797,1,1.00577463455455
2.76,2.76,2.77544967358434,1,0.994433452088363
2.72,2.72,2.66831639823248,1,1.01936936781626
2.35,2.35,2.38308976422419,1,0.986114763815891
2.13,2.13,2.10640658228055,1,1.01120078996995
1.93,1.93,1.9774141134364,1,0.976022162927722
2.02,2.02,1.97916078250468,1,1.02063461334538
1.96,1.96,1.99784525792023,1,0.981056962359722
2.05,2.05,2.01366728604351,1,1.01804305716655
2.03,2.03,2.07722294618729,1,0.977266308234286
2.23,2.23,2.17815522618404,1,1.02380214834679
2.09,2.09,2.09376164043357,1,0.99820340560218
1.8,1.8,1.77887333177734,1,1.0118764320344
1.46,1.46,1.48621178390308,1,0.982363358851698
1.35,1.35,1.34685296155982,1,1.00233658649459
1.31,1.31,1.31990301763875,1,0.99249716266543
1.33,1.33,1.32075272630514,1,1.00700151777898
1.32,1.32,1.3315375117758,1,0.99133519583657
1.35,1.35,1.33435441628143,1,1.0117252084811
1.26,1.26,1.25915798567989,1,1.00066871221061
1.2,1.2,1.22604510175885,1,0.978756815942997
1.29,1.29,1.25254351387288,1,1.02990433922037
1.19,1.19,1.22083323129818,1,0.974744108771195
1.31,1.31,1.31640222618909,1,0.995136572954894
1.52,1.52,1.48504837068806,1,1.02353568409071
1.55,1.55,1.59631215143462,1,0.970988035521123
1.82,1.82,1.77151334440232,1,1.02737018930785
1.78,1.78,1.77781681788974,1,1.00122801296978
1.61,1.61,1.61679131564204,1,0.995799510068905
1.6,1.6,1.63295137262069,1,0.979820971295792
1.87,1.87,1.83987436834286,1,1.01637374386832
2.63,2.63,2.67993478557843,1,0.981367163914905
3.12,3.12,3.04127867968264,1,1.02588428375317
3.33,3.33,3.43666241903556,1,0.968963370261576
4,4,3.84379962598344,1,1.04063697102228
3.95,3.95,4.09380298636105,1,0.964873007606827
4.83,4.83,4.79901250644546,1,1.00645705621999
5.96,5.96,5.89945047111287,1,1.01026358797037
6.64,6.64,6.67855640790185,1,0.994226835030361
7.14,7.14,6.98828843448249,1,1.02170940237225
6.37,6.37,6.38433385991412,1,0.997754838605149
5.8,5.8,5.92561467467332,1,0.978801410221591
6.28,6.28,6.19311116643082,1,1.01402991666614
7.82,7.82,6.37966221446003,1,1.22577022687429
7.24,7.24,6.23003642158642,1,1.1621119862019
6.61,6.61,6.00466590228087,1,1.10081062086888
