"y","sa","t","s","i"
10.3,10.3,10.3015254817088,0,-0.00152548170875377
10.3,10.3,10.3109574035114,0,-0.0109574035114424
10.3,10.3,10.2679346749194,0,0.0320653250806124
10.1,10.1,10.125,0,-0.0250000000000004
10,10,9.99402177502687,0,0.00597822497313061
9.9,9.9,9.89402177502687,0,0.00597822497312883
9.8,9.8,9.81304355005374,0,-0.0130435500537409
9.8,9.8,9.79402177502687,0,0.00597822497313061
9.8,9.8,9.8,0,1.77635683940025e-15
9.8,9.8,9.8,0,1.77635683940025e-15
9.8,9.8,9.80597822497313,0,-0.00597822497312706
9.8,9.8,9.78097822497313,0,0.0190217750268715
9.7,9.7,9.71304355005374,0,-0.0130435500537409
9.7,9.7,9.70706532508061,0,-0.00706532508061208
9.8,9.8,9.8,0,0
9.9,9.9,9.88695644994626,0,0.0130435500537427
9.9,9.9,9.90597822497313,0,-0.00597822497312883
9.9,9.9,9.89402177502687,0,0.00597822497312883
9.9,9.9,9.91304355005374,0,-0.0130435500537427
10,10,9.99402177502687,0,0.00597822497313061
10.1,10.1,10.1059782249731,0,-0.00597822497312883
10.2,10.2,10.1869564499463,0,0.0130435500537409
10.2,10.2,10.2059782249731,0,-0.00597822497312883
10.2,10.2,10.2,0,0
10.2,10.2,10.2,0,0
10.2,10.2,10.2,0,0
10.2,10.2,10.1940217750269,0,0.00597822497312883
10.2,10.2,10.2130435500537,0,-0.0130435500537409
10.3,10.3,10.2940217750269,0,0.00597822497313061
10.4,10.4,10.4,0,0
10.5,10.5,10.5119564499463,0,-0.0119564499462577
10.6,10.6,10.5679346749194,0,0.0320653250806142
10.5,10.5,10.525,0,-0.0249999999999986
10.5,10.5,10.4880435500537,0,0.0119564499462577
10.5,10.5,10.5010871001075,0,-0.00108710010748325
10.6,10.6,10.6380435500537,0,-0.0380435500537413
10.9,10.9,10.8429346749194,0,0.0570653250806128
10.9,10.9,10.9369564499463,0,-0.036956449946258
11,11,10.9869564499463,0,0.0130435500537409
11,11,10.9989128998925,0,0.00108710010748325
10.9,10.9,10.8869564499463,0,0.0130435500537427
10.7,10.7,10.7190217750269,0,-0.0190217750268715
10.6,10.6,10.6,0,0
10.5,10.5,10.4809782249731,0,0.0190217750268715
10.3,10.3,10.3130435500537,0,-0.0130435500537409
10.2,10.2,10.2070653250806,0,-0.00706532508061386
10.2,10.2,10.1820653250806,0,0.0179346749193883
10.2,10.2,10.2440217750269,0,-0.0440217750268719
10.4,10.4,10.3548911248656,0,0.0451088751343551
10.3,10.3,10.3108693498388,0,-0.0108693498387744
10.1,10.1,10.0929346749194,0,0.00706532508061208
9.8,9.8,9.80597822497313,0,-0.00597822497312883
9.5,9.5,9.5,0,1.77635683940025e-15
9.2,9.2,9.19402177502687,0,0.00597822497312883
8.9,8.9,8.91304355005374,0,-0.0130435500537427
8.7,8.7,8.68804355005374,0,0.0119564499462577
8.5,8.5,8.50706532508061,0,-0.00706532508061386
8.4,8.4,8.40706532508061,0,-0.00706532508061386
8.4,8.4,8.39402177502687,0,0.00597822497312883
8.4,8.4,8.40597822497313,0,-0.00597822497313061
8.4,8.4,8.39293467491939,0,0.00706532508061208
8.3,8.3,8.29293467491939,0,0.00706532508061386
8.1,8.1,8.10597822497313,0,-0.00597822497313061
7.9,7.9,7.89402177502687,0,0.00597822497313061
7.7,7.7,7.71304355005374,0,-0.0130435500537418
7.6,7.6,7.58804355005374,0,0.0119564499462594
7.5,7.5,7.51902177502687,0,-0.0190217750268715
7.5,7.5,7.48097822497313,0,0.0190217750268706
7.4,7.4,7.40597822497313,0,-0.00597822497312883
7.3,7.3,7.30597822497313,0,-0.00597822497312972
7.2,7.2,7.18695644994626,0,0.0130435500537418
7,7,7,0,0
6.8,6.8,6.81304355005374,0,-0.0130435500537418
6.7,6.7,6.69402177502687,0,0.00597822497312972
6.6,6.6,6.6,0,0
6.5,6.5,6.49402177502687,0,0.00597822497312883
6.4,6.4,6.41902177502687,0,-0.0190217750268706
6.4,6.4,6.375,0,0.0250000000000004
6.3,6.3,6.33097822497313,0,-0.0309782249731292
6.3,6.3,6.26793467491939,0,0.0320653250806133
6.1,6.1,6.11195644994626,0,-0.0119564499462577
5.9,5.9,5.9,0,0
5.7,5.7,5.7,0,0
5.5,5.5,5.5,0,0
5.3,5.3,5.28804355005374,0,0.0119564499462586
5.1,5.1,5.12010887513435,0,-0.0201088751343548
5.1,5.1,5.10706532508061,0,-0.00706532508061297
5.2,5.2,5.18695644994626,0,0.0130435500537418
5.2,5.2,5.19891289989252,0,0.00108710010748414
