observation_date,Consumer_Price_Index,Interest_Rates,Unemployment_Rate
2010-01-01,91.412290,6.130000,10.3
2010-02-01,91.575090,6.090000,10.3
2010-03-01,91.819290,5.720000,10.3
2010-04-01,92.226300,5.570000,10.1
2010-05-01,92.470490,5.720000,10.0
2010-06-01,92.714690,5.870000,9.9
2010-07-01,92.551900,5.840000,9.8
2010-08-01,92.144890,5.620000,9.8
2010-09-01,92.714690,5.490000,9.8
2010-10-01,93.203090,5.530000,9.8
2010-11-01,93.284490,5.820000,9.8
2010-12-01,93.691490,5.980000,9.8
2011-01-01,94.831090,6.260000,9.7
2011-02-01,94.993900,6.260000,9.7
2011-03-01,95.889300,6.270000,9.8
2011-04-01,96.377690,6.140000,9.9
2011-05-01,96.947490,6.060000,9.9
2011-06-01,96.540500,5.880000,9.9
2011-07-01,96.214900,5.810000,9.9
2011-08-01,96.214900,5.700000,10.0
2011-09-01,96.296300,5.740000,10.1
2011-10-01,96.947490,5.710000,10.2
2011-11-01,97.598690,5.797000,10.2
2011-12-01,98.005700,5.840000,10.2
2012-01-01,98.656900,5.680000,10.2
2012-02-01,99.063900,5.455700,10.2
2012-03-01,99.552300,5.370000,10.2
2012-04-01,100.122100,5.485700,10.2
2012-05-01,100.284900,5.410000,10.3
2012-06-01,100.447700,5.240000,10.4
2012-07-01,99.959300,4.990000,10.5
2012-08-01,99.633700,4.880000,10.6
2012-09-01,99.715100,4.850000,10.5
2012-10-01,100.122100,4.570000,10.5
2012-11-01,100.203500,4.180000,10.5
2012-12-01,100.284900,3.880000,10.6
2013-01-01,100.366300,3.910000,10.9
2013-02-01,100.366300,3.990000,10.9
2013-03-01,100.529100,3.930000,11.0
2013-04-01,100.936100,3.499500,11.0
2013-05-01,100.854700,3.280000,10.9
2013-06-01,100.854700,3.950000,10.7
2013-07-01,101.180300,3.970000,10.6
2013-08-01,100.854700,4.303333,10.5
2013-09-01,100.936100,4.490000,10.3
2013-10-01,101.098900,4.280000,10.2
2013-11-01,100.936100,4.380000,10.2
2013-12-01,101.017500,4.416667,10.2
2014-01-01,101.098900,4.420000,10.4
2014-02-01,101.180300,4.470000,10.3
2014-03-01,101.261700,4.250000,10.1
2014-04-01,101.261700,4.100000,9.8
2014-05-01,101.180300,3.800476,9.5
2014-06-01,101.180300,3.540000,9.2
2014-07-01,101.017500,3.340000,8.9
2014-08-01,100.610500,3.360000,8.7
2014-09-01,100.610500,3.100900,8.5
2014-10-01,100.610500,2.720000,8.4
2014-11-01,100.447700,2.540000,8.4
2014-12-01,100.122100,2.553158,8.4
2015-01-01,99.959300,2.211000,8.4
2015-02-01,99.877900,2.196000,8.3
2015-03-01,100.040700,2.325455,8.1
2015-04-01,100.447700,2.367500,7.9
2015-05-01,100.447700,2.820000,7.7
2015-06-01,100.447700,3.190000,7.6
2015-07-01,100.366300,3.160000,7.5
2015-08-01,99.959300,2.881905,7.5
2015-09-01,99.633700,2.910909,7.4
2015-10-01,99.715100,2.660909,7.3
2015-11-01,99.633700,2.726000,7.2
2015-12-01,99.470900,2.957000,7.0
2016-01-01,98.982500,2.996842,6.8
2016-02-01,98.901100,3.030000,6.7
2016-03-01,98.982500,2.890000,6.6
2016-04-01,99.308100,2.952857,6.5
2016-05-01,99.389500,3.040000,6.4
2016-06-01,99.552300,3.110000,6.4
